id,гражданство
1060801,СССР
1060896,СССР
1060986,СССР
1061006,СССР
1061132,СССР
1061278,СССР
1061485,СССР
1061595,СССР
1061615,СССР
1061624,СССР
1061643,нет данных
1061650,нет данных
1061805,СССР
1061877,СССР
1061945,СССР
1061949,СССР
1062119,СССР
1062175,СССР
1062346,СССР
1062396,СССР
1062891,СССР
1062899,Япония
1062915,Япония
1062917,нет данных
1063129,СССР
1063133,СССР
1063140,СССР
1063159,СССР
1063270,СССР
1063641,СССР
1063696,СССР
1063720,СССР
1063762,СССР
1063841,СССР
1064046,СССР
1064053,СССР
1064100,СССР
1064204,СССР
1064230,СССР
1064465,СССР
1064472,СССР
1064507,СССР
1064541,СССР
1064570,СССР
1064952,СССР
1064957,Без гражданства
1064965,СССР
1065129,СССР
1065135,СССР
1065255,СССР
1065429,СССР
1065455,СССР
1065525,СССР
1065596,СССР
1065616,СССР
1065634,СССР
1065703,СССР
1065768,СССР
1065963,СССР
1066054,СССР
1066156,СССР
1066160,СССР
1066184,СССР
1066193,СССР
1066199,СССР
1066270,СССР
1066304,СССР
1066348,СССР
1066350,СССР
1066420,СССР
1066553,СССР
1067051,СССР
1067310,СССР
1067313,нет данных
1067316,СССР
1067491,СССР
1068038,СССР
1068046,СССР
1068049,СССР
1068253,СССР
1068488,СССР
1068564,СССР
1068743,СССР
1068812,СССР
1068835,СССР
1068929,нет данных
1068934,нет данных
1068937,СССР
1068940,Корея
1068946,СССР
1068948,нет данных
1068949,Китай
1069012,СССР
1069243,СССР
1069244,СССР
1069245,СССР
1069281,СССР
1069449,СССР
1069592,эмигрант
1069777,СССР
1069819,СССР
1070142,СССР
1070153,СССР
1070271,СССР
1070336,СССР
1070353,СССР
1070466,СССР
1070471,СССР
1070508,СССР
1070538,СССР
1070862,СССР
1071004,СССР
1071230,СССР
1071256,СССР
1071262,СССР
1071470,СССР
1071503,СССР
1071917,СССР
1072145,СССР
1072192,СССР
1072215,СССР
1072221,СССР
1072226,СССР
1072239,СССР
1072246,СССР
1072249,СССР
1072288,СССР
1072334,СССР
1072393,СССР
1072472,СССР
1072481,СССР
1072779,СССР
1072821,нет данных
1072858,СССР
1072888,СССР
1072906,Китай
1072929,СССР
1072961,Китай
1072962,Китай
1073085,СССР
1073102,Китай
1073278,СССР
1073285,СССР
1073286,СССР
1073398,СССР
1073555,СССР
1073561,СССР
1073565,СССР
1073571,СССР
1073603,СССР
1073658,СССР
1073707,СССР
1073708,СССР
1073852,СССР
1073862,СССР
1073863,СССР
1073934,СССР
1074076,СССР
1074322,СССР
1074459,СССР
1074672,СССР
1074708,СССР
1074760,СССР
1074783,СССР
1074805,СССР
1074997,СССР
1075041,СССР
1075124,СССР
1075148,СССР
1075181,СССР
1075246,СССР
1075250,СССР
1075374,СССР
1075393,СССР
1075418,СССР
1075494,СССР
1075584,СССР
1075829,Япония
1075919,СССР
1075938,СССР
1075982,СССР
1076122,СССР
1076123,нет данных
1076136,нет данных
1076184,СССР
1076202,СССР
1076363,нет данных
1076388,СССР
