id,национальность
1060801,Русские
1060896,Русские
1060986,Русские
1061006,Украинцы
1061132,Русские
1061278,Русские
1061485,нет данных
1061595,Русские
1061615,Русские
1061624,Русские
1061643,нет данных
1061650,нет данных
1061805,Евреи
1061877,Русские
1061945,Русские
1061949,Русские
1062119,Украинцы
1062175,Евреи
1062346,Русские
1062396,Русские
1062891,Украинцы
1062899,Японцы
1062915,Японцы
1062917,Русские
1063129,Евреи
1063133,Евреи
1063140,Евреи
1063159,Евреи
1063270,Армяне
1063641,Русские
1063696,Русские
1063720,Русские
1063762,Русские
1063841,Русские
1064046,Русские
1064053,Евреи
1064100,Русские
1064204,Русские
1064230,Русские
1064465,Русские
1064472,Русские
1064507,Ороки
1064541,Русские
1064570,Русские
1064952,Русские
1064957,Русские
1064965,Русские
1065129,Русские
1065135,Русские
1065255,Русские
1065429,Поляки
1065455,Поляки
1065525,Русские
1065596,Русские
1065616,Русские
1065634,Русские
1065703,Русские
1065768,Эвенки
1065963,Русские
1066054,Русские
1066156,Русские
1066160,Русские
1066184,Украинцы
1066193,Украинцы
1066199,Русские
1066270,Поляки
1066304,Русские
1066348,Русские
1066350,Русские
1066420,Русские
1066553,Русские
1067051,Русские
1067310,Китайцы
1067313,Евреи
1067316,Русские
1067491,Русские
1068038,Евреи
1068046,Евреи
1068049,Евреи
1068253,Русские
1068488,Поляки
1068564,Русские
1068743,Татары
1068812,Якуты
1068835,Марийцы
1068929,нет данных
1068934,нет данных
1068937,Корейцы
1068940,Корейцы
1068946,Корейцы
1068948,Корейцы
1068949,Китайцы
1069012,Русские
1069243,Русские
1069244,Русские
1069245,Русские
1069281,Армяне
1069449,Русские
1069592,Русские
1069777,Китайцы
1069819,Русские
1070142,Русские
1070153,Русские
1070271,Белорусы
1070336,Русские
1070353,Русские
1070466,Русские
1070471,Русские
1070508,Русские
1070538,Русские
1070862,Евреи
1071004,Русские
1071230,Русские
1071256,Русские
1071262,Украинцы
1071470,Русские
1071503,Русские
1071917,Русские
1072145,Русские
1072192,Русские
1072215,Русские
1072221,Русские
1072226,Русские
1072239,Эвенки
1072246,Русские
1072249,Русские
1072288,Русские
1072334,Русские
1072393,Русские
1072472,Поляки
1072481,Русские
1072779,Евреи
1072821,Русские
1072858,Русские
1072888,Русские
1072906,Эвенки
1072929,Евреи
1072961,Китайцы
1072962,Китайцы
1073085,Русские
1073102,Русские
1073278,Русские
1073285,Эстонцы
1073286,Эстонцы
1073398,Мордва
1073555,Русские
1073561,Евреи
1073565,Евреи
1073571,Русские
1073603,Русские
1073658,Русские
1073707,Грузины
1073708,Грузины
1073852,Эвенки
1073862,Русские
1073863,Русские
1073934,Русские
1074076,Евреи
1074322,Евреи
1074459,Русские
1074672,Русские
1074708,Русские
1074760,Русские
1074783,Русские
1074805,Русские
1074997,Русские
1075041,Русские
1075124,Русские
1075148,Украинцы
1075181,Русские
1075246,Русские
1075250,Евреи
1075374,Русские
1075393,Русские
1075418,Русские
1075494,Русские
1075584,Русские
1075829,Японцы
1075919,Украинцы
1075938,Русские
1075982,Армяне
1076122,Русские
1076123,нет данных
1076136,нет данных
1076184,Евреи
1076202,Латыши
1076363,нет данных
1076388,Русские
1076393,Русские
1076411,Русские
1076540,Русские
1076803,Русские
1077155,Немцы
1077352,Украинцы
1077431,Русские
1077511,Русские
1077550,Русские
1077564,Русские
1077566,нет данных
1077567,Украинцы
1077568,Русские
1077652,Русские
1077735,нет данных
1077797,Русские
1077801,Русские
1077903,Русские
1077932,Русские
1078958,Евреи
1079195,Русские
1079589,Русские
1079597,Русские
1079656,Украинцы
1079736,Русские
1079771,Украинцы
1079773,Украинцы
1079817,Украинцы
1079823,Русские
1079836,Русские
1079849,Татары
1079942,Русские
1080005,Украинцы
1080111,Русские
1080121,Русские
1080136,Евреи
1080291,Русские
1081126,Русские
1081203,Русские
1081285,Русские
1081464,Поляки
1081612,Евреи
1081751,Китайцы
1081752,Японцы
1081753,Китайцы
1082804,Русские
1082809,Белорусы
1082814,Русские
1082926,Русские
1083050,Русские
1083106,Русские
1083176,Русские
1083230,Русские
1083258,Украинцы
1083280,Русские
1083337,Русские
1083349,Русские
1083475,Русские
1083720,Русские
1083736,Русские
1083892,Буряты
1083982,Русские
1084036,Русские
1084039,Русские
1084042,Поляки
1084408,Русские
1084411,Русские
1084412,Русские
1084413,Русские
1084436,Русские
1084532,Чуваши
1084669,Русские
1084677,Русские
1084706,нет данных
1084742,Русские
1084786,Русские
1084797,Русские
1084798,Русские
1084947,Русские
1085112,Русские
1085196,Русские
1085199,нет данных
1085223,Русские
1085282,нет данных
1085285,Русские
1085320,Русские
1085368,Русские
1085391,Русские
1085392,Русские
