id,партийная принадлежность
1060801,нет данных
1060896,нет данных
1060986,нет данных
1061006,нет данных
1061132,нет данных
1061278,нет данных
1061485,нет данных
1061595,нет данных
1061615,нет данных
1061624,нет данных
1061643,нет данных
1061650,нет данных
1061805,нет данных
1061877,нет данных
1061945,нет данных
1061949,нет данных
1062119,нет данных
1062175,нет данных
1062346,нет данных
1062396,нет данных
1062891,нет данных
1062899,нет данных
1062915,нет данных
1062917,нет данных
1063129,нет данных
1063133,нет данных
1063140,нет данных
1063159,нет данных
1063270,нет данных
1063641,нет данных
1063696,нет данных
1063720,нет данных
1063762,нет данных
1063841,нет данных
1064046,нет данных
1064053,нет данных
1064100,нет данных
1064204,беспартийный
1064230,нет данных
1064465,беспартийный
1064472,нет данных
1064507,нет данных
1064541,нет данных
1064570,нет данных
1064952,нет данных
1064957,нет данных
1064965,нет данных
1065129,нет данных
1065135,нет данных
1065255,нет данных
1065429,нет данных
1065455,нет данных
1065525,нет данных
1065596,нет данных
1065616,нет данных
1065634,нет данных
1065703,нет данных
1065768,нет данных
1065963,нет данных
1066054,нет данных
1066156,нет данных
1066160,нет данных
1066184,нет данных
1066193,нет данных
1066199,нет данных
1066270,нет данных
1066304,нет данных
1066348,нет данных
1066350,нет данных
1066420,нет данных
1066553,нет данных
1067051,нет данных
1067310,нет данных
1067313,нет данных
1067316,нет данных
1067491,нет данных
1068038,нет данных
1068046,нет данных
1068049,нет данных
1068253,нет данных
1068488,нет данных
1068564,нет данных
1068743,нет данных
1068812,нет данных
1068835,нет данных
1068929,нет данных
1068934,нет данных
1068937,нет данных
1068940,нет данных
1068946,нет данных
1068948,нет данных
1068949,нет данных
1069012,нет данных
1069243,нет данных
1069244,нет данных
1069245,нет данных
1069281,нет данных
1069449,нет данных
1069592,нет данных
1069777,беспартийный
1069819,нет данных
1070142,нет данных
1070153,нет данных
1070271,нет данных
1070336,нет данных
1070353,нет данных
1070466,нет данных
1070471,нет данных
1070508,нет данных
1070538,нет данных
1070862,нет данных
1071004,нет данных
1071230,нет данных
1071256,нет данных
1071262,беспартийный
1071470,нет данных
1071503,нет данных
1071917,нет данных
1072145,нет данных
1072192,нет данных
1072215,нет данных
1072221,ВКП(б)
1072226,нет данных
1072239,нет данных
1072246,нет данных
1072249,нет данных
1072288,нет данных
1072334,нет данных
1072393,нет данных
1072472,нет данных
1072481,нет данных
1072779,нет данных
1072821,нет данных
1072858,нет данных
1072888,нет данных
1072906,нет данных
1072929,нет данных
1072961,нет данных
1072962,нет данных
1073085,нет данных
1073102,нет данных
1073278,нет данных
1073285,нет данных
1073286,нет данных
1073398,нет данных
1073555,нет данных
1073561,нет данных
1073565,нет данных
1073571,нет данных
1073603,нет данных
1073658,нет данных
1073707,нет данных
1073708,нет данных
1073852,нет данных
1073862,нет данных
1073863,нет данных
1073934,нет данных
1074076,нет данных
1074322,нет данных
1074459,нет данных
1074672,нет данных
1074708,нет данных
1074760,нет данных
1074783,нет данных
1074805,нет данных
1074997,нет данных
1075041,нет данных
1075124,нет данных
1075148,нет данных
1075181,нет данных
1075246,нет данных
1075250,нет данных
1075374,нет данных
1075393,нет данных
1075418,нет данных
1075494,нет данных
1075584,нет данных
1075829,нет данных
1075919,нет данных
1075938,беспартийный
1075982,нет данных
1076122,нет данных
1076123,нет данных
1076136,нет данных
1076184,нет данных
1076202,нет данных
1076363,нет данных
1076388,нет данных
1076393,нет данных
1076411,нет данных
1076540,нет данных
1076803,нет данных
1077155,беспартийный
1077352,нет данных
1077431,нет данных
1077511,ВКП(б)
1077550,нет данных
1077564,нет данных
1077566,нет данных
1077567,нет данных
1077568,нет данных
1077652,нет данных
1077735,нет данных
1077797,нет данных
1077801,нет данных
1077903,нет данных
1077932,нет данных
1078958,нет данных
1079195,нет данных
1079589,нет данных
1079597,нет данных
1079656,нет данных
1079736,нет данных
1079771,нет данных
1079773,нет данных
1079817,нет данных
1079823,нет данных
1079836,нет данных
1079849,нет данных
1079942,нет данных
1080005,нет данных
1080111,нет данных
1080121,нет данных
1080136,нет данных
1080291,нет данных
1081126,нет данных
1081203,нет данных
1081285,нет данных
1081464,нет данных
1081612,нет данных
1081751,нет данных
1081752,нет данных
1081753,нет данных
1082804,нет данных
1082809,нет данных
1082814,нет данных
1082926,нет данных
1083050,нет данных
1083106,нет данных
1083176,нет данных
1083230,нет данных
1083258,нет данных
1083280,нет данных
1083337,нет данных
1083349,нет данных
1083475,нет данных
1083720,нет данных
1083736,нет данных
1083892,нет данных
1083982,нет данных
1084036,нет данных
1084039,нет данных
1084042,нет данных
1084408,нет данных
1084411,нет данных
1084412,нет данных
1084413,нет данных
1084436,нет данных
1084532,нет данных
1084669,нет данных
1084677,нет данных
1084706,нет данных
1084742,нет данных
1084786,нет данных
1084797,нет данных
1084798,нет данных
1084947,нет данных
1085112,нет данных
1085196,нет данных
1085199,нет данных
1085223,нет данных
1085282,нет данных
1085285,нет данных
1085320,нет данных
1085368,нет данных
1085391,нет данных
1085392,нет данных
1085409,нет данных
1085412,нет данных
1085462,нет данных
1085506,нет данных
1085515,нет данных
1085521,нет данных
1085569,нет данных
1085602,нет данных
1085654,нет данных
1085680,нет данных
1085707,нет данных
1085866,нет данных
1085867,нет данных
1085869,нет данных
1085878,нет данных
1085979,нет данных
1086056,нет данных
1086098,нет данных
1086223,нет данных
1086376,нет данных
1086444,нет данных
1086445,нет данных
1086446,нет данных
1086473,нет данных
1086478,нет данных
1086479,нет данных
1086485,нет данных
1086498,нет данных
1086567,нет данных
1086633,нет данных
1086655,нет данных
1086681,нет данных
1086718,нет данных
1086719,нет данных
1086916,нет данных
1086936,нет данных
1086980,нет данных
1087089,нет данных
1087095,нет данных
1087101,нет данных
1087115,нет данных
1087173,нет данных
1087325,нет данных
1087455,ВКП(б)
1087492,нет данных
1087550,нет данных
1087605,нет данных
1087922,нет данных
1087928,нет данных
1087994,нет данных
1088034,нет данных
1088046,нет данных
1088223,нет данных
1088228,нет данных
1088233,нет данных
1088242,нет данных
1088261,нет данных
1088341,нет данных
1088536,нет данных
1088537,нет данных
1088885,нет данных
1088907,нет данных
1088918,нет данных
1088970,нет данных
1088987,нет данных
1089108,нет данных
1089121,нет данных
1089153,нет данных
1089220,нет данных
1089481,нет данных
1089705,нет данных
1089731,нет данных
1089738,нет данных
1089741,нет данных
1089742,нет данных
1089743,нет данных
1089745,нет данных
1089751,нет данных
1089903,нет данных
1089951,нет данных
1089964,нет данных
1090063,нет данных
1090139,нет данных
1090143,нет данных
1090206,нет данных
1090261,нет данных
1090410,нет данных
1090442,нет данных
1090483,нет данных
1090485,нет данных
1090542,нет данных
1090545,нет данных
1090584,нет данных
1090596,нет данных
1090659,нет данных
1090661,нет данных
1090705,нет данных
1090710,нет данных
1090711,нет данных
1090731,нет данных
1090733,нет данных
1091044,нет данных
1091117,нет данных
1091237,нет данных
1091519,нет данных
1091639,нет данных
1091723,нет данных
1091858,нет данных
1091868,нет данных
1091879,нет данных
1091942,нет данных
1091973,нет данных
1091978,нет данных
1092013,нет данных
1092159,нет данных
1092160,нет данных
1092299,нет данных
1092314,нет данных
1092481,нет данных
1092936,нет данных
1092944,нет данных
1092955,нет данных
1092957,нет данных
1092961,нет данных
1092994,нет данных
1093000,нет данных
1093006,нет данных
1093049,нет данных
1093087,нет данных
1093092,нет данных
1093191,нет данных
1093226,нет данных
1093241,нет данных
1093279,нет данных
1093365,нет данных
1093440,нет данных
1093443,нет данных
1093447,нет данных
1093452,нет данных
1093488,нет данных
1093823,нет данных
1093866,нет данных
1094008,нет данных
1094141,нет данных
1094154,нет данных
1094234,нет данных
1094254,нет данных
1094266,нет данных
1094292,нет данных
1094393,нет данных
1094431,нет данных
1094916,нет данных
1094928,нет данных
1095206,нет данных
1095264,нет данных
1095268,нет данных
1095326,нет данных
1095337,нет данных
1095418,нет данных
