nationality;male;female;comments
Абазины;абазин;абазинка;
Абхазы;абхазец, абхаз;абхазка;
Аварцы;аварец;аварка;
Австралийцы;австралиец;австралийка;
Австрийцы;австриец;австрийка;
Агулы;агул, агулец;агулка;
Аджарцы;аджарец;аджарка;
Адыгейцы;адыгеец, адыг;адыгейка;
Азербайджанцы, Кавказские татары, Закавказские татары, Адербейджанские татары, Азербайджанские татары;азербайджанец, кавказский татарин, закавказский татарин, адербейджанский татарин, азербайджанский татарин;азербайджанка, кавказская татарка, закавказская татарка, адербейджанская татарка, азербайджанская татарка;
Айни;айнь;айнь;
Айны;айн;айна, айнка;
Аккинцы, ауховцы;аккинец, ауховец;аккинка, ауховка;
Албанцы;албанец;албанка;
Алеуты;алеут;алеутка;
Алтайцы, Алтайские татары, Ойроты, Ойраты;алтаец, алтайский татарин, ойрот, ойрат;алтайка, алтайская татарка, ойротка, ойратка;
Алюторцы;алюторец;алюторка;
Американцы;американец;американка;
Англичане;англичанин;англичанка;
Ангольцы;анголец;анголка;
Андийцы;андиец;андийка;
Андоррцы;андоррец;андоррка;
Арабы;араб;арабка;
Арабы среднеазиатские;араб среднеазиатский;арабка среднеазиатская;
Аргентинцы;аргентинец;аргентинка;
Армыны;армын;армынка;
Армяне;армянин;армянка;
Аромуны;аромун;аромунка;
Арумыны;арумын;арумынка;
Арчинцы;арчинец;арчинка;
Ассирийцы, Айсоры;ассириец, айсор;ассирийка, айсорка;
Астраханские татары;астраханский татарин;астраханская татарка;
Афары;афар;афарка;
Афганцы;афганец;афганка;
Ахвахцы;ахвахец;ахваховка;
Ачех, Аче, Ачесцы, Ачехцы, Ачины;ачех, аче, ачесец, ачех, ачин, ачеец;ачех, аче, аческа ачешка, ачинка;
Багулалы;багулалец;багулалка;
Баджо, Баджао, Баджау;баджо, баджао, баджау;баджо, баджао, баджау;
Байхун;байхун;байхун;
Балкарцы, Горские татары;балкарец, балкар, горский татарин;балкарка, горская татарка;
Бангладешцы;бангладешец;бангладешка;
Баски;баск;баскийка;
Башкиры;башкир, башкирец;башкирка;
Бежитинцы, Капучины;бежитинец, капучинец;бежитинка, капучинка;
Белорусы;белорус, беларус;белоруска, белaруска, беларуска;
Белуджи;белуджиец;белуджийка;
Белые калмыки;белый калмык;белая калмычка;
Бельгийцы;бельгиец;бельгийка;
Бена;бена;бена;
Бенгальцы;бенгалец;бенгалка;
Бенинцы;бенинец;бенинка;
Берберы;бербер;берберка;
Бесермяне;бесермянин;бесермянка;
Бессарабы;бессараб;бессарабка;
Бирманцы;бирманец;бирманка;
Бисау-гвинейцы;бисау-гвинеец;бисау-гвинейка;
Биюе;биюе;биюе;
Бобо;бобо;бобо;
Болгары;болгарин;болгарка;
Боливийцы;боливиец;боливийка;
Боснийцы, Босанцы, Муслимане;босниец, босанец, муслиманин;боснийка, босанка, муслиманка;
Ботлихцы;ботлихец;ботлихец;
Ботсванцы;ботсванец;ботсванка;
Бразильцы;бразилец;бразилианка;
Бретонцы;бретонец;бретонка;
Британцы;британец;британка;
Булгары;булгар;булгарка;
Буркинабцы;буркинабец;буркинабка;
Бурундийцы;бурундиец;бурундийка;
Буры;бур;бурка;
Бурят-монголы;бурят-монгол;бурят-монголка;
Буряты;бурят;бурятка;
Валахи, Влахи, Волохи;валах, влах, волох;валашка, влашка, волошка;
Валлийцы, Уэльсцы;валлиец, уэльсец;валлийка, уэльска;
Валлонцы;валлонец;валлонка;
Венгры;венгр, венгерец;венгерка;
Венесуэльцы;венесуэлец;венесуэлка;
Вепсы;вепс;вепс;
Водь;водь;водь;
Вьетнамцы;вьетнамец;вьетнамка;
Габонцы;габонец;габонка;
Гагаузы;гагауз;гагаузка;
Гаитяне;гаитянец;гаитянка;
Галисийцы;галисиец;галисийка;
Галичане;галичанин;галичанка;
Гальего;гальего;гальего;
Гамбийцы;гамбиец;гамбийка;
Ганцы;ганец;ганка;
Гватемальцы;гватемалец;гватемалка;
Гвинейцы;гвинеец;гвинейка;
Германошвейцарцы;германошвейцарец;германошвейцарка;
Гинухцы;гинухец;гинухец;
Годоберинцы;годоберинец;годоберинка;
Голландцы;голландец;голландка;
Гондурасцы;гондурасец;гондураска;
Горные марийцы;горный мариец;горная марийка;
Горские евреи;горский еврей;горская еврейка;
Греки;грек;гречанка;
Греки-урумы;грек-урум;гречанка-урума;
Грузинские евреи;грузинский еврей;грузинская еврейка;
Грузины;грузин;грузинка;
Гунзибцы;гунзибец;гунзибка;
Гураны;гуран;гуранка;https://ru.wikipedia.org/wiki/Гураны
Гэлы;гэл;гэлка;
Дагестанцы;дагестанец;дагестанка;
Даргинцы;даргинец;даргинка;
